Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Targeting   of entities   in Turkey   and the   Arabian   Peninsula,3/10/2022,MuddyWater,"MuddyWater?conducted a?campaign?targeting entities in Turkey and the?Arabian?Peninsula with?malicious?files??sed to?deliver a remote?access Trojan?called SloughRAT?to victim???computers.?These attacks,?though distinct,?are related to the?January 2022?MuddyWater?campaign?targeting the?Turkish?government,?leading experts?to conclude that?this Iranian APT?is comprised of multiple teams?operating?independently.?",,Entities in Turkey and the Arabian Peninsula,Iran (Islamic Republic of),Espionage,Government,https://blog.talosintelligence.com/2022/03/iranian-supergroup-muddywater.html,,
"Targeting of diplomatic organizations in the Americas, Asia, and Europe",4/28/2022,The Dukes,"Russian threat actor APT 29 targeted diplomatic entities with spear- phishing emails disguised as embassy administrative notices, which were sent from compromised email addresses of other diplomatic entities. The campaign used services such as Trello, Firebase, and Dropbox for command and control. Once the hackers infiltrated the target system, they established long-term access and collected sensitive diplomatic and foreign policy information.",,"Diplomatic organizations in the Americas, Asia, and Europe",Russian Federation,Espionage,Government,https://www.mandiant.com/resources/tracking-apt29-phishing-campaigns,https://securityaffairs.co/wordpress/130787/apt/apt29-targets-diplomats.html,
Targeting of Mexican journalists and human rights defenders,10/2/2022,Believed to be the work of the Mexican government,The Mexican government is reported to have used Pegasus spyware to conduct mobile surveillance operations against journalists and a human rights advocate between 2019 and 2022.,Unknown,Mexican journalists and human rights advocates,Mexico,Espionage,Civil society,https://citizenlab.ca/2022/10/new-pegasus-spyware-abuses-identified-in-mexico/,,
Targeting of Turkish government organizations,1/31/2022,MuddyWater,The Iranian threat actor MuddyWater sent malicious PDFs and Microsoft Office documents posing as the Turkish Health and Interior Ministries. The campaign targeted government entities including the Scientific and Technological Research Council of Turkey (TUBITAK).?,,Turkish government entities,Iran (Islamic Republic of),Espionage,Government,https://blog.talosintelligence.com/2022/01/iranian-apt-muddywater-targets-turkey.html?web_view=true,,
Targeting of Ukrainian organizations,4/5/2022,Gamaredon,"Russian threat actor Gamaredon targeted Ukrainian organizations in a phishing campaign. The hackers sent malicious emails with lures related to the Russia-Ukraine conflict, including attachments labeled ??nformation on war criminals of the Russian Federation??and ??ecessary_military_assistance.??The emails contained malware that allowed Russian operators to conduct espionage.",Confirmation   https://cert.gov.ua/article/39138,Ukrainian government and civil society organizations,Russian Federation,Espionage,"Government, Civil society",https://www.bleepingcomputer.com/news/security/ukraine-russian-armageddon-phishing-targets-eu-govt-agencies/,,
Targeting of Jordanian government,5/10/2022,APT 34,"Iranian threat actor APT 34 targeted Jordanian officials with the novel backdoor Saitama, which abuses the domain name system (DNS) protocol for command and control communications. Masquerading as the Government of Jordan, APT 34 sent an email via Microsoft Outlook with a malicious Excel document that contained the Saitama backdoor to other officials in the Jordanian government.",,Government officials at Jordan?? foreign ministry,Iran (Islamic Republic of),Espionage,Government,https://blog.malwarebytes.com/threat-intelligence/2022/05/apt34-targets-jordan-government-using-new-saitama-backdoor/,,
Targeting of St. Petersburg Economic Forum,6/17/2022,Ukrainian IT Army,"The Ukrainian IT Army attacked the systems of the St. Petersburg Economic Forum in advance of Russian leader Vladimir Putin?? speech, delaying it for over an hour.",Unknown,The computer systems of the St. Petersburg Economic Forum,Ukraine,Sabotage,Civil society,https://www.bloomberg.com/news/articles/2022-06-17/kremlin-says-cyberattack-delays-putin-s-forum-speech-by-1-hour#xj4y7vzkg,https://therecord.media/inside-the-it-army-of-ukraine-a-hub-for-digital-resistance,
Targeting of the Burmese government and passport storage systems,12/5/2022,Mustang Panda,"Researchers discovered a compromised server being used by Mustang Panda as a temporary storage point for exfiltrated data, including recordings, webmail dumps, and scans of passports from American, Asian, and European citizens and diplomats applying for Burmese visas.
?",Unknown,"Burmese government agencies, and individuals who traveled to and within Myanmar",Myanmar,Espionage,"Government, Civil society",https://cyware.com/news/researchers-laid-bare-toolset-distribution-point-of-mustang-panda-aff098ef,https://decoded.avast.io/threatintel/apt-treasure-trove-avast-suspects-chinese-apt-group-mustang-panda-is-collecting-data-from-burmese-government-agencies-and-opposition-groups/,
Targeting of Taiwanese financial institutions,2/21/2022,APT 10,"The Chinese threat actor APT10 used a vulnerability in a web interface to install a version of the??uasar remote access Trojan. The attack was initially overlooked because of the focus on a credential stuffing attack, where hackers use mass amounts of previously stolen information to try to break into a system,?seemingly conducted by APT10 to secure access to trading accounts and make transactions on the Hong Kong stock market. The credential stuffing was used by APT10 as a smokescreen for its larger operation.?",,Taiwan?? financial sector,China,Espionage,Private sector,https://medium.com/cycraft/china-implicated-in-prolonged-supply-chain-attack-targeting-taiwan-financial-sector-264b6a1c3525,https://therecord.media/chinese-hackers-linked-to-months-long-attack-on-taiwanese-financial-sector/,
Targeting of UK government officials,4/18/2022,Believed to be the work of the United Arab Emirates government,A United Arab Emirates??ponsored operator targeted networks belonging to the UK prime minister?? office and the Foreign and Commonwealth Office with Pegasus spyware. Multiple intrusions occurred in both 2020 and 2021.,,"UK government officials, including the office of Prime Minister Boris Johnson",United Arab Emirates,Espionage,Government,https://citizenlab.ca/2022/04/uk-government-officials-targeted-pegasus/,,
Targeting of Middle Eastern countries,6/21/2022,MuddyWater,"Since the last quarter of 2020, MuddyWater has maintained a campaign targeting countries in the Middle East. Samples of attacks were gathered from November 2020 to January 2022, but given the more recent samples found, this campaign could be currently active.",,Middle Eastern governments,Iran (Islamic Republic of),Espionage,Government,https://lab52.io/blog/muddywaters-light-first-stager-targetting-middle-east/,,
Targeting of nuclear security researcher,9/13/2022,Charming Kitten,An expert in nuclear security was targeted as part of an Iranian spear-phishing campaign. The threat actors conversed at length with the target via email before sending a malicious document to the researcher.,Unknown,A nuclear security researcher,Iran (Islamic Republic of),Espionage,Civil society,https://www.proofpoint.com/us/blog/threat-insight/ta453-uses-multi-persona-impersonation-capitalize-fomo,,
Targeting of Tibetan organizations,2/25/2021,Lucky Cat,"Chinese APT Lucky Cat has been using a malicious Mozilla Firefox browser extension dubbed FriarFox to infiltrate and control targets??Gmail accounts. Primary objectives of the actor appear to be espionage and surveillance of dissidents, including the Tibetan diaspora.",,Tibetan organizations and the Tibetan diaspora,China,Espionage,Civil society,https://www.proofpoint.com/us/blog/threat-insight/ta413-leverages-new-friarfox-browser-extension-target-gmail-accounts-global?utm_campaign=wp_the_cybersecurity_202&utm_medium=email&utm_source=newsletter&wpisrc=nl_cybersecurity202,,
RedFoxTrot,6/16/2021,Also known as PLA Unit 69010.,"RedFoxTrot, a group associated with PLA Unit 69010, ran a long-term cyber espionage campaign since at least 2014 directed primarily toward countries in Central Asia, as well as Afghanistan, India, and Pakistan. The group is believed to operate out of Xinjiang.",,"Aerospace, mining, research, telecommunications, government, and military organizations in Afghanistan, India, Kazakhstan, Kyrgyzstan, Pakistan, Tajikistan, and Uzbekistan.",China,Espionage,"Private sector, Government, Military",https://www.recordedfuture.com/redfoxtrot-china-pla-targets-bordering-asian-countries/?__hstc=156209188.4e2c9b763994bd69da31c853d744d104.1637602252473.1640797019943.1640802426993.20&__hssc=156209188.1.1640802426993&__hsfp=1461018766,,
Targeting of Indian media organizations,9/21/2021,TAG-28,A Chinese threat actor was found using phishing attacks to gain access to the systems of several Indian media groups.,,Indian media organizations,China,Espionage,Civil society,https://go.recordedfuture.com/hubfs/reports/cta-2021-0921.pdf,,
"Targeting of Uyghur activists, journalists, and dissidents",3/24/2021,Poison Carp,The Chinese threat actor Evil Eye used fake Facebook profiles and websites that masqueraded as legitimate Turkish and Uyghur news sites to disseminate malicious links to Uyghur activists around the world.,,"Uyghur activists, journalists, and dissidents living in the United States, Australia, Canada, Kazakhstan, Syria, Turkey, and other countries",China,Espionage,Civil society,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,,
Targeting of Ukrainian naval exercises,7/9/2021,Russian Federation,Russian hackers were accused of defacing the Ukrainian Navy's website and uploading fake documents to spread disinformation about the annual Sea Breeze military exercises.,Confirmation,Ukrainian government websites and emails,Russian Federation,Defacement,Military,https://www.rferl.org/a/ukraine-hack-russia-navy-sea-breeze/31351045.html,https://thehill.com/policy/international/russia/562365-ukraine-says-russian-linked-hackers-attacked-its-navys-website,
Targeting of North Korean defectors and South Korean journalists,11/29/2021,APT37,North Korea conducted a spear-phishing campaign against North Korean defectors and South Korean journalists.?,,South Korean journalists and North Korean defectors,,Espionage,Civil society,https://securelist.com/scarcruft-surveilling-north-korean-defectors-and-human-rights-activists/105074/,https://thehackernews.com/2021/11/new-chinotto-spyware-targets-north.html?web_view=true,
Confucius,2/11/2021,,Indian APT believed to have targeted communications of government authorities in Pakistan and Kashmir.,,Electoral officials in Kashmir and authorities linked to Pakistan?? nuclear agencies and military,India,Espionage,"Government, Military",https://resources.lookout.com/blog/lookout-discovers-novel-confucius-apt-android-spyware-linked-to-india-pakistan-conflict,,
Targeting of Uyghurs in China and Pakistan,5/27/2021,China,Chinese hackers distributed malware pretending to be a UN document on funding for displaced Uyghurs. The hackers impersonated several UN websites for most of 2020 to spread the malware and communicate with infected systems.,,Uyghurs living in Pakistan and China,China,Espionage,Civil society,https://research.checkpoint.com/2021/uyghurs-a-turkic-ethnic-minority-in-china-targeted-via-fake-foundations/,,
Targeting of Israeli entities,8/10/2021,UNC215,"As part of a broader espionage campaign spanning multiple countries, Chinese-linked APT UNC215 inserted malware into Israeli government computers to extract data",,Israeli government agencies,China,Espionage,Government,https://www.mandiant.com/resources/unc215-chinese-espionage-campaign-in-israel,https://www.haaretz.com/israel-news/tech-news/chinese-cyberattack-targeted-dozens-of-israeli-public-and-private-organizations-1.10102531,
Targeting of Japanese corporations,12/28/2021,BlackTech,Japanese corporations were targeted in a spear-phishing campaign launched by a Chinese threat actor. The campaign is likely focused on acquiring trade secrets from targeted companies.?,,"Japanese defense, media, and telecommunication companies",Japan,Espionage,Private sector,https://insight-jp.nttsecurity.com/post/102hf3q/flagpro-the-new-malware-used-by-blacktech,,
Targeting of the defense industry,2/25/2021,Lazarus Group,North Korean APT Lazarus Group used a custom backdoor dubbed ThreatNeedle to laterally move through infected defense firm networks and gather sensitive information in over a dozen countries. The actor achieved initial entry to victim networks through spear-phishing emails with malicious attachments or links.,,Defense firms in more than a dozen countries,Korea (Democratic People's Republic of),Espionage,Private sector,https://usa.kaspersky.com/about/press-releases/2021_kaspersky-finds-lazarus-apt-targeting-the-defense-industry,,
Targeting of South Korean nuclear research center,6/18/2021,Kimsuky,"South Korea's nuclear research center detected an intrusion into its systems in the middle of May 2021, but was able to remove the malicious code from its VPN before it could be executed.",,Korean Atomic Energy Research Institute (KAERI),Korea (Democratic People's Republic of),Espionage,Civil society,https://abcnews.go.com/International/north-korea-attempted-hack-south-koreas-nuclear-tank/story?id=78372452,https://www.reuters.com/world/asia-pacific/north-korea-hackers-target-skorea-nuclear-think-tank-lawmaker-2021-06-18/,
Targeting of Afghan telecommunication firm Roshan,9/28/2021,RedFoxTrot,An email server controlled by the Afghan telecommunication company Roshan was targeted by a Chinese threat actor since at least July 2020. RedFoxTrot was also identified targeting other unnamed Afghan telecommunication companies during the same period.,,Roshan and other major Afghan telecommunication companies,China,Espionage,Private sector,https://www.recordedfuture.com/chinese-APT-groups-target-afghan-telecommunications-firm/?__hstc=156209188.bb009bd700ffdb42f1bd71351aa875c2.1628778103997.1632758893662.1632844704571.22&__hssc=156209188.1.1632844704571&__hsfp=4085325968,,
Targeting of Malwarebytes??Office 365 tenant,1/19/2021,Cozy Bear,"The same threat actor that compromised SolarWinds abused applications with privileged access to Microsoft 365 and Azure environments, granting the actor access to a limited subset of Malwarebytes??internal emails.",,"Malwarebytes??employees,",Russian Federation,Espionage,Private sector,https://blog.malwarebytes.com/malwarebytes-news/2021/01/malwarebytes-targeted-by-nation-state-actor-implicated-in-solarwinds-breach-evidence-suggests-abuse-of-privileged-access-to-microsoft-office-365-and-azure-environments/,,
Targeting of U.S. and Israeli medical researchers,3/30/2021,Charming Kitten,The Iranian threat actor Charming Kitten targeted medical researchers in the United States and Israel with spear-phishing techniques. The threat actor used a malicious Gmail account masquerading as a prominent Israeli physicist to trick targets into downloading malware.,,Less than twenty-five senior medical professionals at a variety of institutions in the United States and Israel,Iran (Islamic Republic of),Espionage,Civil society,https://www.proofpoint.com/us/blog/threat-insight/badblood-ta453-targets-us-and-israeli-medical-research-personnel-credential?utm_campaign=wp_the_cybersecurity_202&utm_medium=email&utm_source=newsletter&wpisrc=nl_cybersecurity202,,
"Targeting of civil society groups in Nepal, the Philippines, Taiwan, and Hong Kong",7/9/2021,"TAG-22, Winnti Umbrella","Chinese state-sponsored hackers were detected infiltrating networks in Nepal, the Philippines, Taiwan, and Hong Kong, with a focus on academic and governmental networks.",,"Governments, academics, and research and development institutions across Nepal, the Philippines, Taiwan, and Hong Kong",China,Espionage,"Government, Civil society",https://www.recordedfuture.com/chinese-group-tag-22-targets-nepal-philippines-taiwan/,https://www.cyberscoop.com/chinese-apt-hacking-taiwan-semiconductor/,
Targeting of South Korean company recruiters,11/30/2021,Lazarus Group,Hackers from the North Korean Lazarus Group sent malware disguised as job openings at Samsung to engineers. These attacks followed a methodology similar to that of a July 2021 Lazarus Group campaign against engineering firms in South Korea.?,,Engineers were targeted in the hopes that Lazarus Group would access the systems of South Korean engineering and defense companies.,Korea (Democratic People's Republic of),Espionage,Private sector,https://services.google.com/fh/files/misc/gcat_threathorizons_full_nov2021.pdf,https://therecord.media/north-korean-hackers-posed-as-samsung-recruiters-to-target-security-researchers/,
Domestic Kitten,2/8/2021,,Iranian APT believed to be primarily involved in domestic surveillance.,,"Internal dissidents, opposition forces, self-proclaimed Islamic State advocates, and Kurds, among others",Iran (Islamic Republic of),Espionage,Civil society,https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,https://research.checkpoint.com/2018/domestic-kitten-an-iranian-surveillance-operation/,
Targeting of U.S. Agency for International Development,5/27/2021,Nobelium,The Russian hacking group Nobelium compromised the company hosting the servers for the U.S. Agency for International Development (USAID) and used its access to send phishing emails to other aid groups.,Confirmation   https://www.cisa.gov/uscert/ncas/alerts/aa21-148a,U.S. Agency for International Development (USAID),Russian Federation,Espionage,"Government, Civil society",https://www.microsoft.com/security/blog/2021/05/27/new-sophisticated-email-based-attack-from-nobelium/,https://www.nytimes.com/2021/05/28/us/politics/russia-hack-usaid.html?web_view=true,
Targeting of manufacturing groups across Asia,8/12/2021,"Aggah, Gorgon Group","The Pakistani-linked APT Aggah launched a spear-phishing campaign in early 2021 that targeted manufacturing firms in Taiwan and South Korea, as well as other countries.",,Manufacturing companies in Taiwan and South Korea.,Pakistan,Espionage,Private sector,https://www.anomali.com/blog/aggah-using-compromised-websites-to-target-businesses-across-asia-including-taiwan-manufacturing-industry,https://threatpost.com/aggah-wordpress-spearphishing/168657/?web_view=true,
Targeting of various industries through Gmail compromises,10/7/2021,APT 28,"APT28 was detected conducting a wide-ranging phishing attack against more than fourteen thousand Gmail users who work as activists, journalists, and national security officials.?",,"More than fourteen thousand Gmail users who work as activists, journalists, or national security professionals.",Russian Federation,Espionage,"Civil society, Government",https://therecord.media/google-notifies-14000-gmail-users-of-targeted-apt28-attacks/,,
Targeting of India?? power infrastructure,2/28/2021,Winnti Umbrella,"Amid mounting border tensions between China and India in 2020, Chinese threat actors allegedly infected India?? power grid?? control systems with malware.",,Ten distinct Indian power-sector organizations,China,Sabotage,Government,https://www.recordedfuture.com/redecho-targeting-indian-power-sector/,https://www.nytimes.com/2021/02/28/us/politics/china-india-hacking-electricity.html,
Targeting of Polish members of parliament's email accounts,6/18/2021,UNC1151,"In a campaign known as Ghostwriter, Polish politicians' personal email accounts were targeted by hackers who stole classified documents. The Polish government has said Russia was behind the attack, a claim disputed by Mandiant, which attributes the attack to Belarus.",,Polish members of parliament,Belarus,Espionage,Government,https://www.mandiant.com/resources/unc1151-linked-to-belarus-government,https://www.reuters.com/world/europe/cyber-attack-polish-officials-came-russia-kaczynski-says-2021-06-18/,
Calypso,9/28/2021,,"Calypso has been observed targeting government agencies worldwide since 2016, including institutions in Brazil, Indonesia, Russia, Thailand, and Turkey. The group was also implicated in a breach of Afghan telecommunication company Roshan.",,"Roshan, a major Afghan telecommunication company, as well asgovernment agencies in Brazil, Indonesia, Russia, Thailand, and Turkey",China,Espionage,"Private sector, Government",https://www.ptsecurity.com/ww-en/analytics/calypso-apt-2019/,,
Targeting of security researchers with malware,1/25/2021,Lazarus Group,North Korean hackers used spear-phishing social media techniques to target security researchers to install malware onto targets??Windows systems.?,,Cybersecurity research community,Korea (Democratic People's Republic of),Espionage,"Private sector, Civil society",https://blog.google/threat-analysis-group/new-campaign-targeting-security-researchers/,https://www.zdnet.com/article/google-north-korean-hackers-have-targeted-security-researchers-via-social-media/,https://blog.google/threat-analysis-group/update-campaign-targeting-security-researchers/
Targeting of the Vietnamese and Thai governments and military,4/5/2021,Emissary Panda,"APT 27 conducted a wide-ranging espionage campaign to gather data from a variety of institutions throughout Southeast Asia, primarily concentrated in Vietnam.",,"Vietnamese government, military, and civil society institutions along with comparable institutions in Thailand",China,Espionage,"Government, Military, Civil society",https://www.kaspersky.com/about/press-releases/2021_advanced-threat-actors-engaged-in-cyberespionage-in-apac-up-their-game-in-new-campaign,,
Targeting of academics focusing on the Middle East,7/13/2021,"TA453, Charming Kitten",Charming Kitten was found using spear-phishing attacks against UK experts who study the Middle East. The attacks involved impersonating scholars from the University of London's School of Oriental and African Studies and prompted the victims to either turn over sensitive information or download malware onto their systems.,,Researchers in the United Kingdom focused on the Middle East,Iran (Islamic Republic of),Espionage,"Civil society, Private sector",https://www.proofpoint.com/us/blog/threat-insight/operation-spoofedscholars-conversation-ta453,,
Targeting of Afghan government and military,12/22/2021,APT 36,"A Pakistani threat actor launched a series of spear-phishing attacks against the Afghan government. The attackers stole personal information from high-level diplomats and military officials, including names, email addresses, and diplomatic visa forms.?",,Afghan government and military officials,Pakistan,Espionage,"Government, Military",https://about.fb.com/news/2021/11/taking-action-against-hackers-in-pakistan-and-syria/,https://cyware.com/news/sidecopy-apt-targets-indian-and-afghan-governments-16b376a5,
Targeting of domestic citizens in Iran,2/8/2021,Domestic Kitten,"Iranian APT Domestic Kitten used spyware FurBall to surveil domestic citizens and anyone considered a threat to Tehran. Campaigns have been ongoing since 2017, with the latest launched in November 2020.",,"Internal dissidents, opposition forces, self-proclaimed Islamic State advocates, and Kurds, among others",Iran (Islamic Republic of),Espionage,Civil society,https://research.checkpoint.com/2018/domestic-kitten-an-iranian-surveillance-operation/,https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
Targeting of South Korean government,6/1/2021,Kimsuky,"The South Korean government was targeted in a wide-ranging attack by North Korean threat actors. The attacks installed the AppleSeed backdoor, which was used to exfiltrate information.",,"South Korean Ministry of Trade, Industry, and Energy; South Korean Ministry of Foreign Affairs; Consulate of South Korea in Hong Kong; and the Embassy of Sri Lanka in Seoul",Korea (Democratic People's Republic of),Espionage,Government,https://blog.malwarebytes.com/threat-intelligence/2021/06/kimsuky-apt-continues-to-target-south-korean-government-using-appleseed-backdoor/?web_view=true,,
Targeting of Air India,8/12/2021,"APT 41, Barium, TA415","While investigating a breach of Air India's data systems, cybersecurity researchers stumbled on a previously undetected intrusion into Air India's systems likely carried out by Chinese threat actors.",,Air India,China,Espionage,Private sector,https://blog.group-ib.com/colunmtk_apt41,,
Targeting of South Korean think tank,10/26/2021,Lazarus Group?,"Using an unusual route to gain access to civil society and government groups, North Korean hackers accessed the servers of a South Korean think tank by compromising a Latvian company providing third-party services.?",,A Latvian technology company and a South Korean think tank,Korea (Democratic People's Republic of),Espionage,Civil society,https://securelist.com/apt-trends-report-q3-2021/104708/,https://www.cpomagazine.com/cyber-security/north-korean-lazarus-hacking-group-leverages-supply-chain-attacks-to-distribute-malware-for-cyber-espionage/,
Targeting of organizations via Microsoft Exchange Server vulnerability,3/2/2021,Hafnium,The Chinese threat actor Hafnium exploited vulnerabilities in the Microsoft Exchange Server to access the emails of hundreds of thousands of entities across the globe.,,"Various industry sectors, including state and local governments, universities, defense contractors, law firms, medical researchers, think tanks, and others",China,Espionage,"Civil society, Private sector, Government",https://www.microsoft.com/security/blog/2021/03/02/hafnium-targeting-exchange-servers/,https://www.volexity.com/blog/2021/03/02/active-exploitation-of-microsoft-exchange-zero-day-vulnerabilities/,
Targeting of Norwegian government's IT network,6/19/2021,"APT 31, Hurricane Panda","An investigation by the Norwegian Police Security Service (PST) found that a 2018 breach of the government's IT systems was carried out by a Chinese threat actor. The hackers removed large amounts of data in the breach, although the PST is still unsure of exactly how much data or what files were taken",,Norwegian government and its IT system,China,Espionage,Government,https://therecord.media/norway-says-chinese-group-apt31-is-behind-catastrophic-2018-government-hack/,https://www.nrk.no/norge/pst_-har-etterretning-om-at-kinesisk-gruppe-stod-bak-dataangrep-mot-statsforvaltere-1.15540601,
Targeting of Afghan telecommunication firm Roshan,9/28/2021,Calypso,"An email server controlled by the Afghan telecommunication company Roshan was targeted by a Chinese threat actor since at least early 2021. Calypso?? data exfiltration activity spiked in August and September 2021, coinciding with the United States military?? withdrawal from Afghanistan.",,"Roshan, a major Afghan telecommunication company",China,Espionage,Private sector,https://www.recordedfuture.com/chinese-APT-groups-target-afghan-telecommunications-firm/?__hstc=156209188.bb009bd700ffdb42f1bd71351aa875c2.1628778103997.1632758893662.1632844704571.22&__hssc=156209188.1.1632844704571&__hsfp=4085325968,,
Take down of EMOTET botnet,1/27/2021,"Law enforcement agencies in the United States, Canada, France, Germany, Lithuania, the Netherlands, Ukraine, and United Kingdom",An international coalition of law enforcement authorities successfully took down notorious criminal botnet EMOTET by taking control of its command-and-control servers.,,EMOTET cybercriminal group,"United States, Canada, France, Germany, Lithuania, Netherlands, Ukraine, United Kingdom",Sabotage,Civil society,https://www.europol.europa.eu/media-press/newsroom/news/world%e2%80%99s-most-dangerous-malware-emotet-disrupted-through-global-action,,
Targeting of South African freight companies,4/8/2021,Lazarus Group,"Vyveva, a known Lazarus Group malware tool, was spotted in the systems of South African shipping companies. The malware appears designed to facilitate file transfers.",,South African shipping companies,Korea (Democratic People's Republic of),Espionage,Private sector,https://www.welivesecurity.com/2021/04/08/are-you-afreight-dark-watch-out-vyveva-new-lazarus-backdoor/?web_view=true,,
Targeting of Philippine and Nepalese governments,7/14/2021,"HoneyMyte, Mustang Panda, Bronze President","Kaspersky Labs detected a high-volume campaign in Southeast Asia primarily aimed at government agencies in Myanmar, Nepal, and the Philippines. The attackers used a compromised version of the popular video conference application Zoom to break into computers.",,"Government agencies in Myanmar, Nepal, and the Philippines",China,Espionage,Government,https://securelist.com/apt-luminousmoth/103332/,https://www.bleepingcomputer.com/news/security/chinese-cyberspies-wide-scale-apt-campaign-hits-asian-govt-entities/?web_view=true,
Targeting of Pfizer vaccine data,2/16/2021,North Korean government,South Korean lawmaker Ha Tae-keung told reporters that North Korean hackers attempted to steal COVID-19 vaccine data from U.S. pharmaceutical company Pfizer. It is unclear whether the alleged operation was successful.,,Pfizer,Korea (Democratic People's Republic of),Espionage,Private sector,https://www.washingtonpost.com/world/asia_pacific/north-korea-pfizer-coronavirus-vaccine-hack/2021/02/16/c09ec7fc-702e-11eb-8651-6d3091eac63f_story.html,https://www.reuters.com/article/us-northkorea-cybercrime-pfizer-idUKKBN2AG0NI,
Targeting of Myanmar's presidential website,6/2/2021,Winnti Umbrella,The Chinese hacking group Red Echo inserted malicious code into a download link on the webpage for Myanmar's president. This marks the second time Myanmar?? presidential website has been used in watering-hole attacks by Chinese hackers.,,Visitors to Myanmar's presidential webpage,China,Espionage,"Government, Civil society",https://therecord.media/backdoor-malware-found-on-the-myanmar-presidents-website-again/?web_view=true,https://cyberintelmag.com/malware-viruses/backdoor-planted-on-the-myanmar-presidents-website/,
Targeting of Slovakian government agencies,8/13/2021,"Nobelium, APT 29",Nobelium launched spear-phishing attacks against Slovakian diplomats by posing as the Slovak National Security Authority.,,Slovakian diplomats,Russian Federation,Espionage,Government,https://www.istrosec.com/blog/apt-sk-cobalt/,https://therecord.media/russian-cyberspies-targeted-slovak-government-for-months/?web_view=true,
Emennet Pasargad,11/18/2021,Believed to be the work of the Iranian government.,An Iranian company hired by the Iranian government to interfere in U.S. elections. Emennet Pasargad has attacked voting-related websites and news outlets and distributed misinformation designed to undermine confidence in the U.S. electoral system.?,Sanctions   https://home.treasury.gov/news/press-releases/jy0494,Organizations related to the U.S. electoral process and news outlets.,Iran (Islamic Republic of),Espionage,"Civil society, Government",https://www.ic3.gov/Media/News/2022/220126.pdf,,
Hafnium,3/2/2021,,"The Chinese APT believed to be behind the exploitation of vulnerabilities in the Microsoft Exchange email server to access user emails. Historically, Hafnium has primarily targeted entities in the United States.",,"Various industry sectors, including state and local governments, universities, defense contractors, law firms, medical researchers, think tanks, and others",China,Espionage,"Civil society, Private sector, Government",https://blogs.microsoft.com/on-the-issues/2021/03/02/new-nation-state-cyberattacks/,,
Targeting of government and energy organizations in India and Afghanistan,6/22/2021,Pakistan,Pakistani threat actors compromised Indian government organizations and energy suppliers with open-source remote access Trojan horses.,,Indian government agencies and energy providers,Pakistan,Espionage,"Government, Private sector",https://blog.lumen.com/suspected-pakistani-actor-compromises-indian-power-company-with-new-reverserat/,,
Targeting of South Korean companies with ransomware,6/15/2021,Lazarus Group,North Korean hackers launched ransomware attacks on South Korean businesses. The malware used is an old incarnation of Lazarus Group?? espionage tools with added ransomware functionality.?,,South Korean corporations,Korea (Democratic People's Republic of),Espionage,Private sector,https://securelist.com/andariel-evolves-to-target-south-korea-with-ransomware/102811/?web_view=true,,
Disruption of NetWalker ransomware,1/27/2021,"Federal Bureau of Investigation, Bulgarian National Investigative Service","U.S. and Bulgarian authorities disrupted the NetWalker ransomware in a coordinated effort that disabled dark web resources and led to the arrest of a Canadian citizen and the seizure of approximately $500,000 in cryptocurrency delivered by victims as ransomware payments.",,Cybercriminals behind NetWalker ransomware,"United States, Bulgaria",Sabotage,Civil society,https://www.zdnet.com/article/us-and-bulgarian-authorities-dirsupt-netwalker-ransomware-operation/,https://www.justice.gov/opa/pr/department-justice-launches-global-action-against-netwalker-ransomware?utm_campaign=wp_the_cybersecurity_202&utm_medium=email&utm_source=newsletter&wpisrc=nl_cybersecurity202,
Targeting of Lebanese job seekers,4/8/2021,"APT 34, OilRig",Lebanese job seekers were sent a compromised pdf document claiming to be an offer from an American IT firm. The exact targets of this phishing campaign remain unclear.,,Job seekers in Lebanon,Iran (Islamic Republic of),Espionage,Civil society,https://research.checkpoint.com/2021/irans-apt34-returns-with-an-updated-arsenal/,,
Targeting of U.S. defense industry using Facebook,7/15/2021,"Tortoiseshell, ?Charming Kitten",Iran was accused of attempting to break into the personal accounts of over two hundred senior defense personnel in the United States and United Kingdom. The individuals were targeted in phishing attacks.,,Individuals in the defense industry in the United States and United Kingdom,Iran (Islamic Republic of),Espionage,Military,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,https://www.cbsnews.com/news/facebook-iran-hackers-us-military-defense-contractors-fake-accounts/?web_view=true,
Targeting of French public organizations,12/7/2021,The Dukes,"Nobelium, a Russian threat actor, is believed to have compromised the servers of several French organizations as early as February 2021 to launch spear-phishing attacks against foreign organizations.?",,French civil society organizations with significant foreign ties.,Russian Federation,Espionage,Civil society,https://securityaffairs.co/wordpress/125342/apt/nobelium-targets-french-orgs.html?web_view=true,https://www.cert.ssi.gouv.fr/cti/CERTFR-2021-CTI-010/,
